request: 1, response: 1, IP: 127.0.0.1, Port: 60672
request: 1, response: 1, IP: 127.0.0.1, Port: 60644
request: 1, response: 1, IP: 127.0.0.1, Port: 60656
request: 2, response: 2, IP: 127.0.0.1, Port: 60672
request: 1, response: 1, IP: 127.0.0.1, Port: 60676
request: 2, response: 2, IP: 127.0.0.1, Port: 60656
request: 2, response: 2, IP: 127.0.0.1, Port: 60644
request: 3, response: 6, IP: 127.0.0.1, Port: 60656
request: 3, response: 6, IP: 127.0.0.1, Port: 60672
request: 1, response: 1, IP: 127.0.0.1, Port: 60716
request: 1, response: 1, IP: 127.0.0.1, Port: 60706
request: 1, response: 1, IP: 127.0.0.1, Port: 60630
request: 1, response: 1, IP: 127.0.0.1, Port: 60690
request: 2, response: 2, IP: 127.0.0.1, Port: 60676
request: 2, response: 2, IP: 127.0.0.1, Port: 60706
request: 4, response: 24, IP: 127.0.0.1, Port: 60672
request: 1, response: 1, IP: 127.0.0.1, Port: 60734
request: 2, response: 2, IP: 127.0.0.1, Port: 60630
request: 3, response: 6, IP: 127.0.0.1, Port: 60676
request: 4, response: 24, IP: 127.0.0.1, Port: 60676
request: 5, response: 120, IP: 127.0.0.1, Port: 60672
request: 1, response: 1, IP: 127.0.0.1, Port: 60718
request: 5, response: 120, IP: 127.0.0.1, Port: 60676
request: 3, response: 6, IP: 127.0.0.1, Port: 60706
request: 3, response: 6, IP: 127.0.0.1, Port: 60630
request: 3, response: 6, IP: 127.0.0.1, Port: 60644
request: 6, response: 720, IP: 127.0.0.1, Port: 60672
request: 4, response: 24, IP: 127.0.0.1, Port: 60644
request: 2, response: 2, IP: 127.0.0.1, Port: 60718
request: 3, response: 6, IP: 127.0.0.1, Port: 60718
request: 4, response: 24, IP: 127.0.0.1, Port: 60718
request: 5, response: 120, IP: 127.0.0.1, Port: 60718
request: 2, response: 2, IP: 127.0.0.1, Port: 60690
request: 6, response: 720, IP: 127.0.0.1, Port: 60676
request: 7, response: 5040, IP: 127.0.0.1, Port: 60672
request: 5, response: 120, IP: 127.0.0.1, Port: 60644
request: 6, response: 720, IP: 127.0.0.1, Port: 60718
request: 4, response: 24, IP: 127.0.0.1, Port: 60706
request: 3, response: 6, IP: 127.0.0.1, Port: 60690
request: 6, response: 720, IP: 127.0.0.1, Port: 60644
request: 7, response: 5040, IP: 127.0.0.1, Port: 60718
request: 4, response: 24, IP: 127.0.0.1, Port: 60630
request: 4, response: 24, IP: 127.0.0.1, Port: 60690
request: 7, response: 5040, IP: 127.0.0.1, Port: 60676
request: 5, response: 120, IP: 127.0.0.1, Port: 60630
request: 8, response: 40320, IP: 127.0.0.1, Port: 60676
request: 8, response: 40320, IP: 127.0.0.1, Port: 60672
request: 5, response: 120, IP: 127.0.0.1, Port: 60706
request: 7, response: 5040, IP: 127.0.0.1, Port: 60644
request: 9, response: 362880, IP: 127.0.0.1, Port: 60676
request: 2, response: 2, IP: 127.0.0.1, Port: 60734
request: 8, response: 40320, IP: 127.0.0.1, Port: 60718
request: 6, response: 720, IP: 127.0.0.1, Port: 60630
request: 5, response: 120, IP: 127.0.0.1, Port: 60690
request: 3, response: 6, IP: 127.0.0.1, Port: 60734
request: 9, response: 362880, IP: 127.0.0.1, Port: 60672
request: 8, response: 40320, IP: 127.0.0.1, Port: 60644
request: 10, response: 3628800, IP: 127.0.0.1, Port: 60676
request: 9, response: 362880, IP: 127.0.0.1, Port: 60718
request: 6, response: 720, IP: 127.0.0.1, Port: 60706
request: 4, response: 24, IP: 127.0.0.1, Port: 60734
request: 7, response: 5040, IP: 127.0.0.1, Port: 60630
request: 9, response: 362880, IP: 127.0.0.1, Port: 60644
request: 10, response: 3628800, IP: 127.0.0.1, Port: 60672
request: 4, response: 24, IP: 127.0.0.1, Port: 60656
request: 10, response: 3628800, IP: 127.0.0.1, Port: 60644
request: 2, response: 2, IP: 127.0.0.1, Port: 60716
request: 10, response: 3628800, IP: 127.0.0.1, Port: 60718
request: 7, response: 5040, IP: 127.0.0.1, Port: 60706
request: 11, response: 39916800, IP: 127.0.0.1, Port: 60644
request: 11, response: 39916800, IP: 127.0.0.1, Port: 60718
request: 8, response: 40320, IP: 127.0.0.1, Port: 60630
request: 5, response: 120, IP: 127.0.0.1, Port: 60734
request: 11, response: 39916800, IP: 127.0.0.1, Port: 60676
request: 6, response: 720, IP: 127.0.0.1, Port: 60690
request: 11, response: 39916800, IP: 127.0.0.1, Port: 60672
request: 12, response: 479001600, IP: 127.0.0.1, Port: 60676
request: 7, response: 5040, IP: 127.0.0.1, Port: 60690
request: 6, response: 720, IP: 127.0.0.1, Port: 60734
request: 9, response: 362880, IP: 127.0.0.1, Port: 60630
request: 12, response: 479001600, IP: 127.0.0.1, Port: 60718
request: 12, response: 479001600, IP: 127.0.0.1, Port: 60672
request: 8, response: 40320, IP: 127.0.0.1, Port: 60706
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 60676
request: 8, response: 40320, IP: 127.0.0.1, Port: 60690
request: 7, response: 5040, IP: 127.0.0.1, Port: 60734
request: 12, response: 479001600, IP: 127.0.0.1, Port: 60644
request: 10, response: 3628800, IP: 127.0.0.1, Port: 60630
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 60718
request: 9, response: 362880, IP: 127.0.0.1, Port: 60690
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 60644
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 60676
request: 8, response: 40320, IP: 127.0.0.1, Port: 60734
request: 11, response: 39916800, IP: 127.0.0.1, Port: 60630
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 60718
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 60672
request: 9, response: 362880, IP: 127.0.0.1, Port: 60706
request: 9, response: 362880, IP: 127.0.0.1, Port: 60734
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 60644
request: 10, response: 3628800, IP: 127.0.0.1, Port: 60690
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 60672
request: 10, response: 3628800, IP: 127.0.0.1, Port: 60706
request: 12, response: 479001600, IP: 127.0.0.1, Port: 60630
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 60644
