request: 1, response: 1, IP: 127.0.0.1, Port: 47216
request: 1, response: 1, IP: 127.0.0.1, Port: 47218
request: 1, response: 1, IP: 127.0.0.1, Port: 47230
request: 2, response: 2, IP: 127.0.0.1, Port: 47216
request: 2, response: 2, IP: 127.0.0.1, Port: 47218
request: 1, response: 1, IP: 127.0.0.1, Port: 47258
request: 1, response: 1, IP: 127.0.0.1, Port: 47240
request: 2, response: 2, IP: 127.0.0.1, Port: 47240
request: 1, response: 1, IP: 127.0.0.1, Port: 47210
request: 1, response: 1, IP: 127.0.0.1, Port: 47246
request: 2, response: 2, IP: 127.0.0.1, Port: 47210
request: 2, response: 2, IP: 127.0.0.1, Port: 47246
request: 1, response: 1, IP: 127.0.0.1, Port: 47282
request: 2, response: 2, IP: 127.0.0.1, Port: 47258
request: 3, response: 6, IP: 127.0.0.1, Port: 47240
request: 2, response: 2, IP: 127.0.0.1, Port: 47282
request: 4, response: 24, IP: 127.0.0.1, Port: 47240
request: 1, response: 1, IP: 127.0.0.1, Port: 47264
request: 2, response: 2, IP: 127.0.0.1, Port: 47264
request: 3, response: 6, IP: 127.0.0.1, Port: 47218
request: 4, response: 24, IP: 127.0.0.1, Port: 47218
request: 3, response: 6, IP: 127.0.0.1, Port: 47258
request: 5, response: 120, IP: 127.0.0.1, Port: 47240
request: 3, response: 6, IP: 127.0.0.1, Port: 47282
request: 2, response: 2, IP: 127.0.0.1, Port: 47230
request: 4, response: 24, IP: 127.0.0.1, Port: 47258
request: 5, response: 120, IP: 127.0.0.1, Port: 47218
request: 4, response: 24, IP: 127.0.0.1, Port: 47282
request: 3, response: 6, IP: 127.0.0.1, Port: 47246
request: 4, response: 24, IP: 127.0.0.1, Port: 47246
request: 5, response: 120, IP: 127.0.0.1, Port: 47246
request: 3, response: 6, IP: 127.0.0.1, Port: 47264
request: 4, response: 24, IP: 127.0.0.1, Port: 47264
request: 3, response: 6, IP: 127.0.0.1, Port: 47230
request: 6, response: 720, IP: 127.0.0.1, Port: 47218
request: 5, response: 120, IP: 127.0.0.1, Port: 47282
request: 1, response: 1, IP: 127.0.0.1, Port: 47266
request: 6, response: 720, IP: 127.0.0.1, Port: 47240
request: 2, response: 2, IP: 127.0.0.1, Port: 47266
request: 6, response: 720, IP: 127.0.0.1, Port: 47246
request: 7, response: 5040, IP: 127.0.0.1, Port: 47240
request: 3, response: 6, IP: 127.0.0.1, Port: 47210
request: 4, response: 24, IP: 127.0.0.1, Port: 47210
request: 5, response: 120, IP: 127.0.0.1, Port: 47210
